Date,石油石化,煤炭,有色金属,电力及公用事业,钢铁,基础化工,建筑,建材,轻工制造,机械,电力设备及新能源,国防军工,汽车,商贸零售,消费者服务,家电,纺织服装,医药,食品饮料,农林牧渔,银行,非银行金融,房地产,交通运输,电子,通信,计算机,传媒,综合
2017/4/28,0.029720584055490006,0.0327219919966641,0.0454971850231316,0.22953284620441153,0.0662661427712827,0.049591479049524205,0.0583116496069409,0.3584493705180297,0.0889651300940872,0.07506624679459031,0.04008442279499339,0.0645281847729291,0.2697650445448975,0.0566593847137916,0.28899611743274745,0.4476214750945347,0.0601988992491053,0.17139656045424842,0.5945775220653,0.0312212279866318,0.17494335851709067,0.17809828827600332,0.044853935249083904,0.2682002903342317,0.1574637391658096,0.07974580278381829,0.0294001269029389,0.052688085869734,0.0567164329304443
2017/5/31,0.0291436797897201,0.0317306762234304,0.04917902921004531,0.24507509419877263,0.0640356114026891,0.0587877417898305,0.053546187627423594,0.3644641924038722,0.10638768952195919,0.0736102398196732,0.044400619687772896,0.0596234307848635,0.2693260721994623,0.057915447550327605,0.3022661433032597,0.5507984241536014,0.0617160301728767,0.2002527294781411,0.6491262267296865,0.039098226736748204,0.1761863018009446,0.2078775207915277,0.0438933899428214,0.3179626706098482,0.21743662282527093,0.08241279779434639,0.0334924496370681,0.0566014750124636,0.0489717485409762
2017/6/30,0.027192140734654598,0.026566156490980593,0.05043025367096741,0.23176669560875146,0.07204030943064238,0.05801988981978169,0.04990782829522981,0.32084144643355694,0.114025583440194,0.077611617313671,0.0487953920236265,0.0603787121938046,0.2942971695923742,0.057394240125438895,0.36430031081727055,0.683981122076702,0.0624158829036771,0.22732863726088393,0.6937742024205216,0.0513091106576885,0.18678287851932962,0.23689432718704162,0.04749122632498629,0.3067933375981001,0.2696615250435913,0.0835745106260932,0.0382145165644555,0.06389592273653451,0.052620393549923004
2017/7/31,0.027070255415152997,0.026077091054388598,0.052492633846543006,0.2527916620585986,0.072137115902264,0.0520546048084104,0.0517499101401627,0.2526997472239252,0.1116914060045046,0.08119987897161818,0.05470005693915941,0.0552185832574243,0.2821369455238894,0.057681010223157504,0.34746876651374486,0.7404772677235872,0.0662854610042381,0.23774564157569442,0.723837257156648,0.0547279698922051,0.1717988092865267,0.23851941244982441,0.053028660264973694,0.3014186731179856,0.2983866229101554,0.0853063245860871,0.0418211371514587,0.0626358337921091,0.0520999637866164
2017/8/31,0.0279722045582797,0.023855491065693294,0.06296409724899539,0.2862112309928419,0.08505399937545,0.05144463098148389,0.05599570984167039,0.21304621354264547,0.12262644136501308,0.09471094974642569,0.0635123057211825,0.05292751765446651,0.280619142052179,0.058986188767411005,0.40715872252270785,0.8543154331512611,0.0817024385449697,0.26527103338193825,0.7538286068061243,0.0560239094260573,0.1755971637415481,0.24489438544610506,0.0532538680028338,0.2939530405123799,0.32280844710471174,0.09215480169171508,0.04790422111973729,0.0650544127522524,0.04953845216854949
2017/9/29,0.027954405546403997,0.031552582518506296,0.0666030269046043,0.31716935330945983,0.0764697837997987,0.0539407512930241,0.0588259120573919,0.2221137813916284,0.13222812954355068,0.10166839178812508,0.0648097143917105,0.0516444778599432,0.29456088062831676,0.06410052301628809,0.4393800360493465,1.0062420995093653,0.0881183583010596,0.28239005119292726,0.7800159793609273,0.056192687073941504,0.18103335121052777,0.25995455112185933,0.06865888273230221,0.3127443547299404,0.3580531003693287,0.0983251945124789,0.0581514122955091,0.0584866604714124,0.04739951935471
2017/10/31,0.0286046843915641,0.03971227229107709,0.069093116309982,0.3394196272987158,0.08636777410149529,0.0558193738863676,0.058018452895080105,0.2504246759710953,0.1510112326528424,0.10459189983834931,0.06648954111638969,0.0545157121340849,0.3357077067604726,0.07280039732956249,0.5067203311758616,1.117897501143822,0.0835390075213837,0.3036875911318884,0.8034150737280656,0.06062126341644731,0.17092021275141073,0.268344221317546,0.0794160586953446,0.30826754866605344,0.3791059264214337,0.10585363770420941,0.0683045081155269,0.05445952959367929,0.05433765599718761
2017/11/30,0.031247768916750098,0.0395818581166291,0.0706135057962681,0.3800284478486212,0.1100257524167316,0.0616373067800312,0.0558054356700934,0.28691723637607464,0.16901899010785212,0.10603150475442429,0.07686319654750881,0.05511520285831329,0.3644353584732002,0.07838563506258982,0.6942355133330189,1.2474436360683945,0.0808162716084643,0.32586014742056013,0.791105619442936,0.0627916984621759,0.1666774614206313,0.2730984365924259,0.0862953586420426,0.3429063074630846,0.41647397293733807,0.1411446031348206,0.0828492166736958,0.056376727439393905,0.058826027368164904
2017/12/29,0.0344707667407466,0.04676238327035869,0.0657692908531074,0.3927834470251577,0.12360293112053741,0.0656903386401438,0.053813480477923704,0.25654312917322253,0.19846469316518206,0.10648504675243871,0.0882057654836986,0.05334408789870921,0.37009850285908297,0.0772098831426454,0.8093603775397976,1.2626431516144352,0.0771049465113462,0.34272864427030375,0.7862966438388235,0.06277295849120791,0.16917091732314804,0.2703421721893515,0.08935299399567688,0.35514886918118327,0.42211542437779626,0.1411429879687846,0.0806771555851537,0.058004277489240696,0.0554861765120399
2018/1/29,0.0368263864388537,0.0505825434145026,0.0722633030794938,0.38787631761133623,0.1336009886767014,0.06625795905101328,0.05668566414469211,0.2551332049355907,0.2430424006951219,0.10874241549741989,0.1066874437661485,0.05285207944858859,0.37120874549278193,0.08273557156675179,0.831607219278463,1.3443187064996789,0.0733713198052194,0.3609611044983873,0.8119178599764088,0.0633674757925877,0.17964051112664142,0.2802630583915905,0.09594626951387741,0.3662036362572203,0.441041471625547,0.14250782040209828,0.0808559494687503,0.060478684831419605,0.052458478160293705
