Date,石油开采Ⅱ,石油化工,煤炭开采洗选,煤炭化工,贵金属,工业金属,发电及电网,环保及公用事业,普钢,农用化工,建筑施工,造纸Ⅱ,工程机械Ⅱ,运输设备,金属制品Ⅱ,航空航天,兵器兵装Ⅱ,其他军工Ⅱ,乘用车Ⅱ,商用车,汽车零部件Ⅱ,汽车销售及服务Ⅱ,摩托车及其他Ⅱ,旅游及休闲,酒店及餐饮,白色家电Ⅱ,黑色家电Ⅱ,化学制药,中药生产,生物医药Ⅱ,其他医药医疗,酒类,畜牧业,渔业,国有大型银行Ⅱ,全国性股份制银行Ⅱ,证券Ⅱ,保险Ⅱ,房地产开发和运营,公路铁路,物流,航运港口,航空机场,综合Ⅱ,通信设备制造,纺织制造,油服工程,稀有金属,其他钢铁,特材,化学纤维,化学原料,其他化学制品Ⅱ,塑料及制品,橡胶及制品,建筑装修Ⅱ,建筑设计及服务Ⅱ,结构材料,装饰材料,专用材料Ⅱ,包装印刷,家居,文娱轻工Ⅱ,其他轻工Ⅱ,专用机械,通用设备,仪器仪表Ⅱ,电气设备,电源设备,新能源动力系统,一般零售,贸易Ⅱ,专营连锁,电商及服务Ⅱ,专业市场经营Ⅱ,教育,综合服务,小家电Ⅱ,照明电工及其他,厨房电器Ⅱ,品牌服饰,饮料,食品,种植业,林业,农产品加工Ⅱ,区域性银行,多元金融,房地产服务,资产管理Ⅱ,多领域控股Ⅱ,新兴金融服务Ⅱ,半导体,元器件,光学光电,消费电子,其他电子零组件Ⅱ,电信运营Ⅱ,增值服务Ⅱ,通讯工程服务,计算机设备,计算机软件,云服务,产业互联网,媒体,广告营销,文化娱乐,互联网媒体
2020/3/09,0.0015442479148878871,0.008532242353240451,0.007842455278760731,0.005836338970636767,0.018429650456608455,0.00876214983605467,0.024297410168503907,0.019154045148146996,0.021337234665155285,0.007759712462878551,0.016932188675619568,0.024053874994417003,0.06542345852863286,0.010886152137077533,0.0016134442548009346,0.017193321680275913,0.004974061997132211,0.012353773216923972,0.021380300166793233,0.03604357500871036,0.0388975875762343,0.008464073186235845,0.0050507682908315634,0.10807895274746031,0.03663159861188519,0.15074421551737366,0.006265672115971594,0.05114637367811225,0.028486580205002963,0.02724673712167921,0.04766152323789265,0.07376666121190428,0.030720080375800908,0.0001495009107776388,0.020293395960700875,0.033979736004724925,0.020417663570677022,0.03947039717509973,0.024535279651037644,0.02171087288897859,0.017170431990528607,0.009109883660067267,0.08042642987987751,0.006101712421191416,0.03181977843180804,0.008555541414020837,0.012615185714902943,0.01322564133440254,0.01225182285079852,0.0032001216751754826,0.007888547082669752,0.008903898678513607,0.035369434827039414,0.004638289806890254,0.022012038932334464,0.01946557971499559,0.009848365992809228,0.08058773140313795,0.04281524792160784,0.031291127618358026,0.014076659653637547,0.0843295037908214,0.021815998627712125,0.0001,0.018250989445653894,0.03866796715699308,0.011811331427341375,0.033139389414436504,0.016355268608905245,0.02465308729260482,0.020584794521245443,0.0033178779657547577,0.014699596143752547,0.01739065857567821,0.010800268668168302,0.005969258785951456,0.0,0.04475957453825966,0.0508268167025637,0.08959346013266183,0.016063562160390753,0.08713819460417468,0.04492565075199724,0.005431946093122033,0.0184,0.0018757365933485992,0.023109534724315154,0.004376030497601456,0.005898532574113725,0.0016583768047906588,0.009630455481071803,0.0006,0.03974906314809791,0.02603858628853951,0.03384850758028576,0.025430737486175976,0.016509453657000066,0.03500250043497135,0.03464963956104605,0.005036742195191526,0.022140764804945194,0.01958962035550822,0.035930985646694544,0.022977782083302367,0.013180560626367233,0.037011255296595165,0.016040681913226322,0.007567842794810448
2020/3/10,0.0014426943664864066,0.008186034976436699,0.007764209582402969,0.005770577505722783,0.01802226842646856,0.008429798451977508,0.02431455024327012,0.019180289637684457,0.020976189288675923,0.007706046848326393,0.016946522965581468,0.023924501484934465,0.06488093230892825,0.010585979545867139,0.0015727266159010413,0.017123408533978667,0.004951514390082752,0.011415308334993973,0.02167730311140893,0.035596786477082504,0.038614225242506205,0.008522942474340121,0.005126830537047965,0.10573738725035159,0.035506303727643164,0.14965204595783488,0.006239487865136806,0.051615574303903476,0.028301812608290188,0.028066129845283172,0.04782771521250844,0.07299704695505282,0.03086740766645743,0.0001472044877755953,0.019769596275983237,0.03325695116684268,0.019781874592315344,0.038302522022631715,0.024475026137769324,0.02154980208893998,0.016960651420601467,0.008924526529615189,0.07970264183169123,0.006103433436112442,0.0308904626486684,0.00880285204322492,0.012124355635107623,0.013414284621397508,0.011326130123260225,0.003173547014420766,0.007738757402216935,0.008945191057491099,0.035683801823267386,0.004499270604616871,0.021327682893400146,0.019574345287688373,0.009960659356370381,0.08036229367217397,0.0418510069524892,0.0304634620858424,0.014263835174937312,0.0852742251649256,0.0215100698730097,0.0001,0.0178712348564886,0.03807852767613648,0.011045197954407329,0.03302601799642016,0.016390077660119066,0.024713428700261976,0.02047488355617122,0.003304152863040789,0.014801089864326027,0.016905274824772075,0.010046204846519873,0.0060353610798143335,0.0,0.045014216710835185,0.04997712463595043,0.08809332758325208,0.015901264154895553,0.08712855030186445,0.04522162034111261,0.0054572231093807325,0.0193,0.001887115236147381,0.022765248702199724,0.004271834753468932,0.0059088694902195565,0.0017887207202913812,0.009089248118838477,0.0007,0.03891875293604651,0.025997748465385634,0.03279802029709749,0.02581827315714552,0.016552447900430246,0.034319007031771154,0.03512757138063637,0.004705158860858727,0.021820562445586132,0.019440300337320054,0.036042634411320204,0.022674521873244702,0.012796066881569777,0.03635519668370341,0.01596486649698097,0.007610372305911862
2020/3/11,0.0014209909878289562,0.00819047460914791,0.007692055129531777,0.005693334811528648,0.01883961898774065,0.008510993901876518,0.024279383542254306,0.018921423009063628,0.02076887765239873,0.007604338560581477,0.017000517833263087,0.023698458525072182,0.0649127288882773,0.010842565430835983,0.002090107727116543,0.01770966167898711,0.005059406595156996,0.012319626284412149,0.021706975903400046,0.0353019801748141,0.03877209721806445,0.008466801714925977,0.004939074142433121,0.10542432685838393,0.034950259525978786,0.14958529945736126,0.006914605281843653,0.051340752113191154,0.028043113593530178,0.029104796120059388,0.04780119981720227,0.07305829444272212,0.030181457171743118,0.00014761612311631452,0.020303276182736175,0.033459814089531276,0.019915860327933622,0.03832514836806456,0.024337774580070786,0.021281804684788092,0.01726834193459006,0.009061630702029951,0.07807627071049392,0.006430408761280747,0.031776982188706844,0.008504426246045544,0.012189548898990111,0.013523958505095088,0.010786850332120635,0.003334587745299937,0.0077516765070056335,0.008893209486421558,0.03594681470256061,0.004249141910140709,0.020630849564725637,0.019293559875625747,0.009036591900308493,0.07960694994216874,0.03986039421212316,0.03029904972243913,0.014787376414832288,0.08524098360982325,0.021448284054905856,0.0001,0.017136101659551047,0.03772381627795726,0.011004126143325495,0.03259622570204744,0.016136289155521105,0.025583450524379957,0.020669152297272956,0.003380145613322441,0.014897473833318298,0.016998357521523705,0.01029145853217107,0.0062059421240700545,0.0,0.044720847626158015,0.04885977346992554,0.08708940630176029,0.01589909699233009,0.08680959970629842,0.04533509411068854,0.005835114222115,0.0206,0.0020464424228966377,0.022674450217601012,0.004163064209283425,0.005773770522991084,0.002021794140649717,0.008886656639878577,0.0011,0.03965508797063707,0.02605522379677334,0.03350740805591173,0.02637087011965219,0.01608486178114457,0.03496282360218234,0.03526986100889,0.004711776270635733,0.02201679776064318,0.019458422725100295,0.03547198222890005,0.022055449292403013,0.013065234963340484,0.036469624249729236,0.016556985849008006,0.007858805315922038
2020/3/12,0.0014177568719521117,0.00811653983909094,0.0076797049534505345,0.005694672595343676,0.018674592810341843,0.008651853542640942,0.024349766033897838,0.018614035438207176,0.02050124388393848,0.007652877364671627,0.01702499520540111,0.023714694262656492,0.06428268245061489,0.011035724642499968,0.002623400711873873,0.019734269199365224,0.005302963748079189,0.013300756551460555,0.0217531708360823,0.0349728496927953,0.038680182938972824,0.008807954351628336,0.005241728447721853,0.10455696900662656,0.03595956412648988,0.149168916130669,0.005969555148120643,0.05115914464554081,0.027963693242538966,0.02890386113420999,0.047776590500182625,0.07315810317041067,0.029875047890198483,0.00014563934090943684,0.020358955421979828,0.03363345665176583,0.019869317917270042,0.038284989279633336,0.024387555447849884,0.021377106714632107,0.017187801048316215,0.009232457255197273,0.0793298292447408,0.006255892058005407,0.030125459841352332,0.008572651416726283,0.012026692876775897,0.013345806877198574,0.011339133836399135,0.003409706772376693,0.0073700851024664955,0.008836734533858385,0.03493803062955905,0.004036770475803061,0.02016176231117543,0.01967686832698686,0.009703874955545547,0.07950826369015758,0.03950576709355699,0.029806466002671606,0.014871516074152795,0.08448258299433425,0.021620753795514355,0.0001,0.017029202174623323,0.03811549257373147,0.01069739861442632,0.03253681387807732,0.015527044925392404,0.024044709505494158,0.02063041957495776,0.0031496145589920326,0.014861975697937445,0.016743366820402554,0.010947142916727253,0.00614295399487749,0.0,0.044132836041178486,0.0484818821257101,0.08632603235592409,0.015976465687085786,0.08647378142853657,0.04564293430581247,0.005358848789943683,0.0182,0.0019028193746813385,0.02242355445265646,0.004253059984072977,0.006282837873752874,0.0020768985102983615,0.008812026442927114,0.001,0.04018540363427773,0.025665389804452116,0.03267529081753541,0.025755358889858256,0.015690671650498728,0.034911400958463394,0.033088244975103466,0.005196779898848265,0.02148451274761415,0.018953767721677166,0.03509277303882125,0.021700944897361917,0.012886793918534716,0.03527453086404549,0.016407291063648972,0.00778944768935123
2020/3/13,0.0013974406829005308,0.007967690947475875,0.007476998610032845,0.005779824477383232,0.01837235125741301,0.008582759491623076,0.02408474600924212,0.018418515517456654,0.020580324352774352,0.007572842215683253,0.017288191600417908,0.02330230469096261,0.0641264297394901,0.011147488688884202,0.0027652067234440027,0.019771573542223975,0.005372096577024544,0.01450511393822398,0.021844673770740293,0.03479159679157864,0.03840552900687048,0.009033657330269155,0.00500738236812502,0.1043178253857289,0.0354508445104667,0.14801967162479776,0.006546894102130439,0.05066705444066574,0.02759668748560572,0.02887769187996608,0.047616643352002525,0.07223784659664526,0.030143368056793775,0.00015096807596426043,0.02043404748439705,0.033267413079103816,0.019630170741203,0.037552313139881686,0.024165862843937562,0.021316435410564948,0.01720673165576438,0.009063161053243698,0.0791112449748435,0.006205328255235288,0.0299086643289393,0.008413337223215231,0.011690826645520803,0.013841802131481916,0.010829527780962255,0.0032654007967221794,0.007167664387990429,0.008863679342764792,0.03438529022314341,0.00416407342278887,0.019863382631062097,0.019063426318439016,0.009182058964362465,0.07919291835576403,0.0390950722296574,0.028610317544496368,0.015048989646735128,0.08349587072087739,0.02146605777443947,0.0001,0.01715150590291099,0.03810430936790783,0.00976227519000151,0.031827857746109064,0.015428451128391703,0.022973024834332785,0.020677872608637012,0.003284443389266481,0.014733853575869229,0.016391228001187575,0.010466424274870267,0.006130872187155391,0.0,0.043931724165985286,0.04883936046538306,0.08577812693404985,0.015828434152666604,0.08593821237723037,0.04559502494132242,0.005041157333555401,0.0124,0.001976519656050906,0.021974958092562256,0.004066103512982464,0.0063784626356992585,0.0016672426106748195,0.008391346560154916,0.0012,0.03889350552012421,0.02592892168698119,0.032822483278108903,0.026189852815441946,0.015847068510937486,0.03491699838165753,0.031293929933544094,0.005033354022312586,0.021797518186231195,0.019088368599809988,0.03472689303589819,0.022449979092249554,0.012717001249192027,0.03415036604705412,0.016465330076015316,0.008194673889008963
2020/3/16,0.0013757337744105939,0.007639460949121275,0.007286508738994289,0.005373099829518741,0.018770662359401138,0.008687365005078789,0.023866056451274684,0.018238225432196446,0.020407412826969982,0.007268716855957434,0.017299141766396634,0.023424435178762255,0.06362291394636765,0.011218260514852182,0.003018110346149379,0.020088744206795593,0.005574010274303961,0.015087341378685802,0.02142443542232739,0.03373787472622862,0.03836933226012657,0.009251942380002895,0.004555798048425299,0.1038579432925208,0.03602335394558662,0.14702953207942757,0.0063479262917236915,0.04934532094258952,0.02732247249788381,0.028990527294807528,0.046684818953075594,0.0705701085211631,0.03029660392838062,0.00015749677630799027,0.02027170426885953,0.03233994056713506,0.019565474528738178,0.03679508381076963,0.023724648409871905,0.021237884370849412,0.016797608878941907,0.00904494310635236,0.07832855362417686,0.0061999650276812115,0.030785337852200712,0.008289523526548385,0.011524872073823017,0.014062559100060587,0.010044571053240879,0.0034786639076640567,0.007230212399753029,0.008532096148911383,0.03435133951933164,0.004144319786670497,0.019190404770504904,0.01839890558881701,0.008378346527266003,0.07852807642988263,0.039050140509070214,0.027243970724071576,0.014895133711433741,0.08292294498279992,0.021052550552815203,0.0001,0.01643854916022308,0.03764938703885904,0.00972714237899782,0.030530962479030928,0.015478805771312124,0.022750905335853135,0.019552130853852184,0.002926374341111878,0.014949231447229368,0.016162723328660325,0.009967758178108514,0.00618701982264336,0.0,0.04382293350069567,0.04713165328337752,0.08373885642317384,0.015382082122173317,0.0837587583272987,0.04526835357504867,0.006277613378077973,0.0116,0.0020445284404250474,0.021947492412923177,0.004021595896798917,0.006434036846908517,0.0013528691315946222,0.00836028217355463,0.0013999999999999998,0.037888883416226544,0.02565800190959609,0.03233393711390733,0.026052703205534895,0.015560422184167696,0.034647400849354824,0.030375933366451786,0.004249589003973849,0.0216060112681953,0.018764051804389115,0.0346642894659531,0.02088201062923112,0.012648208638141352,0.03405952038543837,0.01671166140379598,0.008146897267454241
2020/3/17,0.0013724456226298257,0.007809193697404855,0.007513683851808035,0.005239841747079629,0.018652019073838053,0.008657439245601042,0.023766522744401105,0.018099421486599314,0.019958592496689267,0.007431857608751691,0.01731640491982132,0.02299264085360888,0.06290115695298296,0.011347587330368359,0.003042278486145522,0.018969710380206443,0.005410930277194848,0.014438688948437924,0.020838547155123708,0.032802941795351925,0.03720201540286253,0.009736979485319621,0.004424339339166795,0.10197292967648686,0.03427415643562615,0.14670982263707694,0.005967290139027873,0.04866168892369201,0.027631013182124534,0.029043120152404216,0.04704481331399814,0.0699956723490922,0.030047634120503486,0.00015413149620975637,0.02044671383266664,0.032065167518589774,0.019614072672213514,0.03660135871015935,0.023601804228526944,0.021522240032933623,0.016766510711972125,0.009100314488300055,0.07745728457396737,0.006284491503605886,0.03096250341630654,0.008430699035165832,0.011760510769498737,0.014666882263830906,0.009756738656016282,0.003747315559815304,0.007379994149098767,0.00836828263024907,0.034032591157503365,0.004340425699930726,0.018597448927059043,0.017642507565062027,0.008575117696456119,0.07749826237785122,0.03905424657318085,0.026211149386819548,0.014822644322689794,0.08199590254868776,0.019501499244089223,0.0001,0.015927920103449587,0.03684626035995897,0.009556137320410246,0.029417112522323735,0.015321867592145464,0.02275954326416821,0.019435348515816832,0.003082257513431516,0.01476365766563114,0.01579112328329988,0.010342669961384188,0.005842404435569115,0.0,0.04352606520450707,0.04676198615730541,0.08228076158345313,0.015216693854147981,0.08309456404197595,0.045151337147455665,0.005381732927425645,0.012,0.0022553909689834012,0.0214531192305599,0.003948448953921805,0.006292699756741946,0.0014578464688738226,0.008445773512333528,0.0014,0.03698499009695161,0.02542492957645294,0.03182552333357123,0.025891073708916235,0.014869556158291426,0.03444509673670574,0.03134330629470457,0.004325929917994009,0.021750240847901482,0.018567193185981056,0.035212530974394175,0.020798126013947,0.012619854462197965,0.03185168572435833,0.016233462295478656,0.00832014089270419
2020/3/18,0.0013598870163431791,0.007731530251665626,0.007444580833316223,0.005659007274134907,0.018552554261568495,0.008584865351471856,0.0235733107842598,0.01800487611253035,0.019525722143016493,0.007269591098257797,0.01726120361525164,0.02276616255032912,0.0628386634783251,0.011393651028972305,0.003298116665944065,0.018774661391527316,0.0053060380997189795,0.014284643089127334,0.020588294834854283,0.03140019879179261,0.037228360269161084,0.009326421526954835,0.0037960925595925486,0.10162125665773886,0.032096792075244865,0.1460876832144811,0.006213994938846886,0.04819813982005136,0.02745432647146711,0.028440992511508553,0.04682274312392457,0.06900937372103037,0.0297282562599897,0.00015223177344197611,0.020341772818287016,0.031840913198312004,0.019604532935346357,0.03612726093562094,0.023127269463161043,0.02148705827835436,0.016606631913458434,0.008953390233310187,0.0770668260697528,0.006215761701735945,0.031045245167016445,0.008307239176008509,0.011107006499181993,0.015690252417380392,0.009092663198352802,0.003380361147561512,0.007488982638823886,0.00875076067797497,0.03397904183282967,0.004055677129909131,0.018385611729937433,0.017507030000982353,0.00855407697909183,0.07727073399601221,0.03975850089268849,0.026230587837141734,0.015034148326990135,0.08069219362321639,0.019394006184222542,0.0001,0.015373228339855789,0.03695267824438449,0.009505998295891965,0.029182558536367344,0.015330895637345045,0.023158981623250377,0.019740657918926104,0.003253840875472382,0.014757960107267844,0.015854283107398812,0.010051197350774648,0.005726355471976366,0.0,0.04319522329725977,0.04638372343516077,0.08143013574261997,0.01493386383175003,0.08303790114915009,0.044202814423236085,0.00714490788066151,0.0137,0.002430243318831738,0.021396726115038192,0.003864424631491334,0.0064261709426234916,0.0016252316468832642,0.008457795490250553,0.0015,0.036293278949317324,0.025593408055515698,0.03247140988208761,0.026273365436973565,0.015124539324701532,0.0340694559713321,0.03024827185480844,0.0048309052531378864,0.021548839440896514,0.018467075738066854,0.034946462036993614,0.021628865758566856,0.012511446750272498,0.03143364876118469,0.016018282589112365,0.00833188582385224
2020/3/19,0.0013600849111988318,0.007742621589801339,0.007433042244723677,0.005677724965520333,0.018468009542157295,0.008538857936687676,0.023392239566030825,0.01778923384878123,0.019436562903912085,0.007189796102734365,0.017235986790016967,0.022766389946765712,0.06252748555354658,0.011347822336977682,0.0032432198263424986,0.018683907875473048,0.005256217939961572,0.014205848789332181,0.020485144345827218,0.0312314952848949,0.0367533569226491,0.009310759895801766,0.0037813164671571353,0.10036256304305766,0.03196172289813347,0.14603698616465444,0.006245464064834272,0.047801908618633884,0.027577616570383948,0.02843677216073086,0.04687123520104668,0.06912542978873361,0.02961982385397641,0.00015203633673139803,0.020218769159691424,0.031652526585606314,0.019573421180789873,0.03620180686410722,0.022891725459446934,0.021300740839821173,0.016524159642311475,0.008958714357459933,0.07726739022005849,0.006277710499081994,0.030530661245654844,0.00835158460095502,0.011037380249949255,0.01563538756555513,0.009103451190785376,0.0034394229754106716,0.007540127176483313,0.008727447591157067,0.03329312432713556,0.004062322132988673,0.018324730418805238,0.017535954762737335,0.008581032283179111,0.07647218336150921,0.0397887090209921,0.026053580077259657,0.014951783014803805,0.07930502913316093,0.019200472960620364,0.0001,0.015312440394467034,0.03662053202384556,0.00952730007143021,0.028712884383891815,0.015301159070216164,0.023002918263153472,0.019747941081801074,0.003260465674880087,0.014906769722636302,0.015873786552566063,0.010017200955419841,0.0057406272194120405,0.0,0.0432423222863158,0.04634375034182825,0.08103690222108494,0.014994657460927468,0.08320233778248144,0.043974048951749965,0.007205587588128254,0.0137,0.0024585283638037456,0.02136071783873052,0.00385461058458881,0.006433601858751227,0.0016197315278960696,0.008422357661690087,0.0015,0.036286877581125115,0.025719843970246542,0.032315070319102,0.02603364435889496,0.014974582501353728,0.03401880387446616,0.030335975014478163,0.004794151079414524,0.02139551837040398,0.018386806980842666,0.03473057924987907,0.021656558570801794,0.012479157362564603,0.0308336618648059,0.016095663125053585,0.008315793080070216
2020/3/20,0.0013659021144515483,0.007585446023432024,0.0073356124735357775,0.006047814355482018,0.018963058740443357,0.008569792434946854,0.023073544445512205,0.01767645390807033,0.019185708299866492,0.007067667021162495,0.016953300347211965,0.023392361310249098,0.06238814999093142,0.011089029995160123,0.003069546866191188,0.016229930404347614,0.0055122252226176205,0.012677885794632351,0.020275763264882757,0.02998184567760615,0.036808479804977694,0.009448937294324222,0.0033947863703811805,0.09950736984553253,0.031003413139239943,0.14561754090187862,0.005727720359195664,0.04658900752634162,0.027261264613013307,0.02833958486943776,0.04669572894327023,0.06829506813934524,0.028717772238748936,0.00015414034931010505,0.019457080350032643,0.031319324663039494,0.019538181267790874,0.03574136593594326,0.0222872789640164,0.02091895699822227,0.01646911503606176,0.008541629750957432,0.07465595725862251,0.006149310256440715,0.030125153121004496,0.008267033484814692,0.01124284748765752,0.015024309745541186,0.008857201728899308,0.003907457175270784,0.007004445291295134,0.00867425029359439,0.033338282209289666,0.003750423376335611,0.018198438775860342,0.01714644409929007,0.007992355344510756,0.07588800044771093,0.04079381809921389,0.02640415755742356,0.014179851964132318,0.08018344395599183,0.019389818748333093,0.0001,0.014606669587743626,0.03592289165893013,0.009940800002455813,0.028577617414579544,0.015307740289681687,0.021285851968342033,0.019790254198403676,0.0037160519894817727,0.014962962776124461,0.015832721352962213,0.010298309549789721,0.005594485631363199,0.0,0.042977029374972366,0.04730092525462424,0.08063841667773203,0.014808533590730106,0.08152100803673895,0.04336195120786414,0.008333922788738029,0.0102,0.002433903735781226,0.0211848353585939,0.003934431124875455,0.00746103567097122,0.0014721646358469877,0.008448499156998525,0.0014,0.03565723208670909,0.025091656512893898,0.032169238795560905,0.024937501075421902,0.014614618636095644,0.03372205765844095,0.028254842651304856,0.005053231354406237,0.021474393926034695,0.018029394554794465,0.03454232386232976,0.022084194609445006,0.012573530732588685,0.030882327767337407,0.015382751606373011,0.007921904851134125
2020/3/23,0.0013753156945592144,0.007553127591222488,0.007692001363806329,0.005953986246626684,0.01850659539877403,0.00867873527740469,0.023262182389271028,0.017476860150658836,0.019144474146907137,0.0069154839761792295,0.017202736167901068,0.024447984710935986,0.06200958112686643,0.011569136212853546,0.002793337872494498,0.01619160944988844,0.005227752377472331,0.01280698927965245,0.020305186421751716,0.029696719297571637,0.03649554019078022,0.009572059236814869,0.0034100694626800084,0.10040759664195209,0.03064213207644395,0.1459344033883865,0.005234492981461869,0.047478375166112176,0.02739266441099636,0.028354634691386313,0.047079989438279665,0.06884293683609322,0.028632219546304478,0.00015375545945621734,0.019418360398964066,0.03190963502023071,0.019422217866936712,0.036145949775608185,0.022573676780495093,0.02092798752957914,0.01642478448252305,0.008622598963424554,0.07463968882785464,0.00620394351307213,0.029237165996079003,0.008206791156402053,0.011300129652275498,0.014672584998862665,0.008992317525272958,0.004119611220346075,0.007027710271727305,0.00865541626786261,0.03346752923163973,0.0042263388824278865,0.01760138332455158,0.017233756183441317,0.008173216578366487,0.07540213240163669,0.042274384315649095,0.026508905671004317,0.014458754634564499,0.07846133738910013,0.019548250510139874,9.999999999999999e-05,0.014295211704401668,0.03622992510357636,0.009576653396211509,0.029096849356181474,0.014756689592938204,0.02106124659793504,0.019874231435075183,0.003513989309341462,0.01539189919802806,0.015943488773960988,0.010498257742569161,0.005494066069669148,0.0,0.042519443974617065,0.044399864224944095,0.07969940131477503,0.015103232676054588,0.08161128954027817,0.04366247747279178,0.00862278739996218,0.0106,0.0024370434591058825,0.02144257870188988,0.004005142617163231,0.007215132505366031,0.001528955395619366,0.008386146776899129,0.0011,0.034546486375930927,0.024842370629609666,0.03115972473578055,0.024183919127362428,0.015372190721791234,0.03437134703040447,0.027573594618609306,0.004551867127604627,0.021365134160241085,0.017695381571673056,0.03491238383214528,0.021491808305855346,0.01265172682728306,0.03142491558577093,0.015350715137145168,0.007940350503960789
2020/3/24,0.0013688168542744798,0.007332592750582749,0.007716985455982412,0.005911354592055782,0.018066792413217517,0.008513723690209625,0.023427585587111822,0.01752708277181258,0.018379730642881155,0.006738911340488426,0.017090599120590674,0.02428730097700372,0.061623975859947486,0.011486885924806754,0.003002708937687997,0.015917653588112528,0.00475760979037681,0.012793489847497192,0.019903812917890527,0.030434914223219506,0.03633306190608061,0.009380441960752288,0.0032829947539746497,0.09876531750779667,0.03023462830946129,0.14507896528148861,0.005435153870620553,0.0472949075428754,0.027466642928189944,0.028449366133121337,0.04809489582555431,0.06800281088520796,0.02895160902102173,0.00015431095785115444,0.019181169972717644,0.032097306260064906,0.019367082514262193,0.035613745735781605,0.022288028080747865,0.0208739628102651,0.016263049603788746,0.008485149426286972,0.07515539578054674,0.006242591518162626,0.02941059008305919,0.00804431957545616,0.011296709270111775,0.014994123437898658,0.00886984998469144,0.004604856065129127,0.007156312139571222,0.008803005989187236,0.033452015452718496,0.004094908293449453,0.017679422820751158,0.01663721243721115,0.008637791264486858,0.07501166374875316,0.042225125241965415,0.02556088928220729,0.014737367593280573,0.07787613598005681,0.019147709871958213,9.999999999999999e-05,0.014531905467606165,0.03683173738323048,0.010116036688686362,0.029854924792715905,0.01457943505215009,0.020730178163242106,0.020037955169565514,0.0034714782606217244,0.015485384735159955,0.015797863913320172,0.01046478069619514,0.005362624765092891,0.0,0.04270184669066743,0.04498342882665043,0.07878193598817243,0.015202380939777136,0.07905049593893271,0.04329065104413503,0.010388392234619941,0.0103,0.002255740748463456,0.021418374408244577,0.003929953790848904,0.00700699448497224,0.0017331846705223493,0.008225817909623536,0.001,0.03430561852232809,0.025315007015192254,0.030688864295905515,0.023744216882091506,0.01671599494422055,0.03424288765369585,0.02751847070975462,0.004784560546935606,0.02165064425769565,0.017601813277489445,0.03449521805277309,0.021423381893898908,0.012646837839810422,0.031337615677490424,0.01515463266053605,0.00790773769964102
2020/3/25,0.0014741004162140481,0.00729153858529305,0.007779600724570112,0.006109553168907432,0.01964984840906019,0.008573812779879515,0.023498131582892035,0.017661535239334662,0.01850545659114182,0.0066896808459292285,0.016945547253471454,0.023951039195360655,0.061282575839373424,0.011685415783096455,0.0036864402568145124,0.015851375699823946,0.004667288482039635,0.012494539773860827,0.020104131091158224,0.030873218967743747,0.03663186004132305,0.009215559298201148,0.0032800831569680506,0.09907011962775386,0.030183073116281742,0.1452956797062904,0.005356358531682966,0.0477974751819159,0.02709292117335252,0.028254549408875583,0.04862910779629458,0.06801598442190594,0.029097337639253314,0.00015023653238827283,0.019812560554863683,0.032538204952416744,0.01943489324695753,0.03548321431227206,0.022368035681469084,0.021033631671674102,0.01627858570546267,0.008372960958202454,0.07520061181689859,0.006328672985708498,0.030307386901585433,0.007925724990544319,0.011542822642695825,0.015183868437978996,0.009044372285886691,0.004120622560848424,0.0069506490301002415,0.008908596751501189,0.0337760585960782,0.004179803539594188,0.01828277140975637,0.015841089168356498,0.00861411254869441,0.07467984931753138,0.042148428760964016,0.026118020093844715,0.0148699935378299,0.07839377094873554,0.019025085972611405,0.0001,0.014885561047152539,0.036713840221559574,0.010112281626441965,0.02966891898747179,0.014860432296465843,0.02074002792194061,0.01988573029106955,0.00351568206480173,0.015707947384976013,0.015707361246515398,0.010520546264178064,0.0053697174164584,0.0,0.042426749317734866,0.045462879906046444,0.07954794820849058,0.015023541037450572,0.07908455689508544,0.04338404489143376,0.009020276366489126,0.0105,0.0022972105000804792,0.02156932382268747,0.003928783273996287,0.007222474061355187,0.0012765085500217037,0.007953607206332784,0.0012,0.03569028869726037,0.02554264636482977,0.031059986505443903,0.024295244500044368,0.017015544766655025,0.034523610712856555,0.027572387692325093,0.003950290110288294,0.02161190812030141,0.017929338006990057,0.035591706669201785,0.021178607084275203,0.012575277409773147,0.031455315850874764,0.015176955557724213,0.007857187309038218
